datetime,s1_q50_b1r1,s2_q50_b1r1,s3_q50_b1r1,s1_q10_b1r1,s2_q10_b1r1,s3_q10_b1r1,s1_q90_b1r1,s2_q90_b1r1,s3_q90_b1r1
2023-01-24 14:00,234.69,229.13,236.45,58.49,52.24,1.47,420.57,513.22,1232.79
2023-01-24 14:15,230.82,225.69,231.68,55.9,51.0,1.52,418.06,510.99,1229.73
2023-01-24 14:30,226.51,222.97,226.97,52.84,51.03,1.53,412.62,506.65,1226.69
2023-01-24 14:45,219.54,220.1,219.97,44.87,51.72,1.5,402.13,498.73,1223.64
2023-01-24 15:00,214.51,218.37,228.33,39.97,54.33,1.47,400.83,499.46,1220.6
2023-01-24 15:15,204.33,210.98,219.58,29.41,48.11,1.48,439.78,634.4,1217.56
2023-01-24 15:30,194.33,203.03,233.35,27.62,46.1,1.43,427.24,623.92,1214.53
2023-01-24 15:45,187.31,195.47,262.02,27.41,43.23,1.36,423.74,620.67,1211.51
2023-01-24 16:00,180.81,188.34,255.05,27.88,41.96,1.24,421.93,618.92,1208.49
2023-01-24 16:15,171.88,178.77,237.9,28.63,40.33,1.21,408.89,606.16,1205.48
2023-01-24 16:30,165.98,170.21,226.45,30.54,40.18,1.24,399.76,595.63,1209.1
2023-01-24 16:45,158.62,161.75,224.96,34.46,37.65,1.27,391.91,587.78,1206.08
2023-01-24 17:00,151.26,156.14,219.65,33.9,34.0,1.25,384.45,581.65,1203.06
2023-01-24 17:15,143.59,149.38,218.99,32.02,32.02,1.25,375.04,573.15,1200.04
2023-01-24 17:30,136.14,142.21,206.83,30.12,30.12,1.28,365.78,564.67,1197.04
2023-01-24 17:45,130.19,134.87,198.74,22.93,22.93,1.26,357.86,556.32,1194.23
2023-01-24 18:00,122.36,124.08,195.66,21.13,21.13,1.23,345.43,542.88,1194.61
2023-01-24 18:15,113.91,115.61,194.79,19.75,19.75,1.23,394.11,732.63,1214.37
2023-01-24 18:30,103.89,106.55,188.98,18.05,18.05,1.23,384.98,725.68,1241.16
2023-01-24 18:45,93.9,96.64,188.72,8.01,8.01,1.25,376.94,718.89,1270.13
2023-01-24 19:00,85.03,87.26,189.03,7.24,7.24,1.32,365.95,709.15,1299.54
2023-01-24 19:15,76.22,76.78,189.36,6.84,6.84,1.32,355.51,699.55,1306.53
2023-01-24 19:30,68.87,69.43,191.36,6.3,6.3,1.3,348.32,693.47,1336.35
2023-01-24 19:45,62.43,62.22,196.76,5.77,5.77,1.31,340.74,686.55,1349.81
2023-01-24 20:00,54.37,53.3,194.07,5.25,5.25,1.37,332.66,679.36,1380.12
2023-01-24 20:15,48.48,47.85,196.78,1.4,1.4,1.3800000000000001,324.29,672.03,1410.87
2023-01-24 20:30,41.38,43.01,196.39,1.29,1.29,1.29,316.58,666.76,1441.68
2023-01-24 20:45,35.39,34.16,195.31,1.18,1.18,1.19,311.4,661.35,1446.87
2023-01-24 21:00,28.47,28.53,198.28,1.09,1.09,1.19,306.69,657.82,1454.18
2023-01-24 21:15,24.47,22.77,200.44,1.02,1.02,1.23,250.8,695.7,1407.94
2023-01-24 21:30,18.26,17.88,201.33,0.5,0.5,1.28,241.47,687.59,1349.11
2023-01-24 21:45,14.92,14.79,198.59,0.0,0.0,1.19,238.43,685.33,1330.92
2023-01-24 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 22:15,9.61,9.48,204.64,0.0,0.0,0.1,233.5,681.29,1218.1
2023-01-24 22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 22:45,6.19,5.99,217.43,0.0,0.0,0.1,224.41,672.72,1193.06
2023-01-24 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 23:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 23:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
